,B cells->B cells->B cells[0_0],B cells->B cells->B cells[0_1],B cells->B cells->B cells[0_2],B cells->B cells->B cells[0_3],B cells->B cells->B cells[0_6],B cells->B cells->B cells[0_7],B cells->B cells->B cells[0_9],B cells->B cells->B cells[0_10],CD14+Mono->CD14+Mono->CD14+Mono[1_0],CD14+Mono->CD14+Mono->CD14+Mono[1_1],CD14+Mono->CD14+Mono->CD14+Mono[1_4],CD14+Mono->CD14+Mono->CD14+Mono[1_6],CD14+Mono->CD14+Mono->CD14+Mono[1_7],CD14+Mono->CD14+Mono->CD14+Mono[1_8],CD14+Mono->CD14+Mono->CD14+Mono[1_11],CD14+Mono->CD14+Mono->CD14+Mono[1_13],CD4+T->CD4+T->CD4+T[2_0],CD4+T->CD4+T->CD4+T[2_1],CD4+T->CD4+T->CD4+T[2_3],CD4+T->CD4+T->CD4+T[2_4],CD4+T->CD4+T->CD4+T[2_6],CD4+T->CD4+T->CD4+T[2_7],CD4+T->CD4+T->CD4+T[2_8],CD4+T->CD4+T->CD4+T[2_9]
17,CEBPB,GZMH,CBFA2T3,,,BCL11A,ADM,HIST1H1E,ADGRG1,ANO6,GRAP2,STMN1,PAX5,RACK1,CDA,,CNST,TSTD1,SQSTM1,RAC2,,,,
18,FOSB,AC008875.3,SPON2,,,HVCN1,PTPN18,TLK1,PTPRCAP,TDRD3,CDIP1,CD3E,KCNA3,GNB2,ZFAND5,,CD226,SAV1,,LST1,,,,
19,PADI4,TNIK,NKG7,,,NCF2,R3HDM4,HIST1H2AC,HSD17B8,GLA,PDE3B,MTA2,PTGS1,VIM,CYP1B1,,FYB1,CD3G,,ETS2,,,,
20,UPP1,RBM38,TSHZ2,,,TSPOAP1-AS1,PDE3B,LDLRAP1,CSKMT,E2F5,GNG11,NLRC3,PYCR2,ARPC1B,IL6ST,,RGS3,CAPZA2,,CD79B,,,,
21,CXCL8,PHACTR1,RHOA,,,NLRC3,MPP7,CIITA,VASH1,LINC00861,SAMD3,UTS2,LINC00342,NDFIP1,AP1S2,,SYNE1,SLC24A4,,RASGRP1,,,,
22,NR4A1,AIF1,FPR1,,,EMP3,DDX5,MALAT1,LAIR2,TRABD2A,EVL,AQP3,RCHY1,ARL4C,IRF2BP2,,BEST1,LEF1,,ETFA,,,,
23,MAP3K8,ATP2B1-AS1,BACH2,,,HHEX,PLAUR,MFSD1,APBA2,OSBPL5,ALPK1,ITK,PF4,RPSA,JARID2,,PRKCH,,,CCDC92,,,,
24,CD69,SERPINA1,CHPT1,,,CTSA,JDP2,PLD3,OSM,TENT5C,TCF7,CEP78,MTURN,RPL27A,RELT,,HNRNPLL,,,TLN1,,,,
25,AL138963.4,GNG11,MLH3,,,NPM1,SH2D2A,PDE4D,AUTS2,CYB5R1,CCR7,TMEM164,PLD4,RPL32,TREM1,,AHNAK,,,CTSH,,,,
26,TUBA1A,CAVIN2,MBTD1,,,GNB2,ZFP36L2,ALDH1A1,NCR3,INF2,F2R,TTN,TRBC1,NRROS,AC020916.1,,FAM20A,,,IL2RB,,,,
27,NFE2,ITGAX,PRSS23,,,H2AFY,GABPB1-AS1,NCR3,BCL2,ERAP1,TFAP4,CYFIP2,DDX23,RHOC,RBP7,,MYO1E,,,ITGB2,,,,
28,TMIGD2,RELA-DT,JAML,,,ARPC1B,PSTPIP2,FAM110A,CAMK4,LDLRAP1,VCL,B4GALT7,PRKAR1B,IL2RB,AC015912.3,,NPC1,,,NOSIP,,,,
29,FKBP11,TIGIT,RPL18A,,,LY86,ZNF516,MS4A7,CCL4,ELMOD3,RIOX2,AP3M2,AC092821.3,EEF1B2,CD83,,CORO1C,,,GCLM,,,,
30,NET1,GZMB,IGHD,,,ETFA,ZNF331,IGKC,ADAM28,ODC1,TIGIT,LCK,F11R,YBX3,DENND5A,,HOPX,,,,,,,
31,TUBA1C,CEBPD,CD14,,,YWHAZ,HIST1H2AE,CD40,MXRA7,MS4A1,CIITA,THAP4,QTRT2,RHOA,NLRP3,,STOM,,,,,,,
32,ZFP36,ANXA1,PKIG,,,CTSH,GNG2,PRDM1,FGFBP2,ITGB2-AS1,CISH,FCRL3,BANK1,BRI3,TLE3,,SEPTIN11,,,,,,,
33,OTUD1,MMD,UBB,,,NME2,EIF3K,PLAC8,MYC,CD3D,PRKAR2B,CTSW,LY9,CTSB,TMEM170B,,CRIP1,,,,,,,
34,GADD45G,ACSL1,HIST1H1B,,,RDH11,FYN,CLK1,SESN2,TSTD1,HABP4,TUT4,TXK,COTL1,PLEK,,AUTS2,,,,,,,
35,IER5L,LRP1,PRF1,,,BLNK,JARID2,IFI30,NET1,ENC1,ZNF516,KLRG1,RALGPS2,EIF4A1,ITGAL,,CCL5,,,,,,,
36,DUSP2,ANKRD28,MPEG1,,,TRDC,MCEMP1,TXK,RGS1,CD72,TRBC2,BACH2,OXNAD1,RPS6,PADI4,,PALM2-AKAP2,,,,,,,
37,RETN,SLC11A1,FTO,,,NOSIP,BCL2,RALGPS2,KLRK1,CBLB,FAAP100,THEMIS,FCRLA,RNF130,UBC,,CYTOR,,,,,,,
38,SOX4,TMEM91,RPL30,,,SLC7A7,RNF125,BMP2K,GNLY,AC131971.1,PBX4,PLPP5,HYI,RPL22,LUCAT1,,LGALS1,,,,,,,
39,SMAD7,FCGR3A,CALM1,,,RNASE6,SERPINB2,ITM2C,KLRB1,,C12orf75,BEX4,IGF1R,,SQSTM1,,,,,,,,,
40,SOCS1,,VSIR,,,,EIF2AK1,HIST2H2BE,FCRL6,,DIP2A,HNRNPLL,UQCRHL,,PIK3R1,,,,,,,,,
41,TNFAIP2,,FXYD7,,,,ABO,HYI,CD38,,GNG2,CSGALNACT1,SPARC,,,,,,,,,,,
42,SEMA6B,,LEPROT,,,,CD6,,SYTL2,,LTB,LEF1,ZBTB48,,,,,,,,,,,
43,NLRP12,,RPS3,,,,KLRD1,,HBB,,RASGRP1,NIBAN2,MGAT5,,,,,,,,,,,
44,ZFAND5,,HK2,,,,LDHA,,LINC01871,,C12orf76,ABCA2,,,,,,,,,,,,
45,ZBTB16,,COBLL1,,,,CD226,,SH2D2A,,MMD,,,,,,,,,,,,,
46,NINJ1,,CDIP1,,,,RPS19,,ID3,,MPIG6B,,,,,,,,,,,,,
47,PBX4,,GSTP1,,,,MAPRE2,,SPON2,,CDKN1C,,,,,,,,,,,,,
48,RXRA,,RPS5,,,,PALM2-AKAP2,,STAT4,,CCL5,,,,,,,,,,,,,
49,LGALS3,,RCAN3,,,,VMP1,,GATA3,,CD226,,,,,,,,,,,,,
50,RHOB,,PSAP,,,,HSP90AA1,,AFF3,,TRDC,,,,,,,,,,,,,
51,IGFBP7,,ETV6,,,,SNCA,,CD6,,MYL9,,,,,,,,,,,,,
52,CD3D,,PLIN2,,,,EEF1A1,,KLRD1,,SVIP,,,,,,,,,,,,,
53,CSF3R,,TC2N,,,,SVIP,,CD28,,STRBP,,,,,,,,,,,,,
54,PMAIP1,,RAB4A,,,,DMXL2,,POU2AF1,,BLK,,,,,,,,,,,,,
55,PRKCH,,TGFB1,,,,,,TGFBR3,,MBTD1,,,,,,,,,,,,,
56,LUCAT1,,GLUL,,,,,,CD8A,,GGA3,,,,,,,,,,,,,
57,CCL3L1,,S100A9,,,,,,SLC38A1,,,,,,,,,,,,,,,
58,HBEGF,,SARAF,,,,,,CD8B,,,,,,,,,,,,,,,
59,JUND,,SNN,,,,,,PRSS23,,,,,,,,,,,,,,,
60,LILRB2,,GBP5,,,,,,,,,,,,,,,,,,,,,
61,C5AR1,,PTPRCAP,,,,,,,,,,,,,,,,,,,,,
62,CITED2,,NDE1,,,,,,,,,,,,,,,,,,,,,
63,LILRB3,,CRIP2,,,,,,,,,,,,,,,,,,,,,
64,PID1,,PLBD1,,,,,,,,,,,,,,,,,,,,,
65,PRKCQ-AS1,,LAIR2,,,,,,,,,,,,,,,,,,,,,
66,TNF,,VIM,,,,,,,,,,,,,,,,,,,,,
67,GATA3,,LRRC25,,,,,,,,,,,,,,,,,,,,,
68,LMNA,,UBE2F,,,,,,,,,,,,,,,,,,,,,
69,ICAM1,,PLD4,,,,,,,,,,,,,,,,,,,,,
70,IGSF6,,LTB,,,,,,,,,,,,,,,,,,,,,
71,JUNB,,RNASE2,,,,,,,,,,,,,,,,,,,,,
72,,,RASGRP1,,,,,,,,,,,,,,,,,,,,,
73,,,ARL4C,,,,,,,,,,,,,,,,,,,,,
74,,,THAP4,,,,,,,,,,,,,,,,,,,,,
75,,,CTSW,,,,,,,,,,,,,,,,,,,,,
76,,,CNST,,,,,,,,,,,,,,,,,,,,,
77,,,TGFBI,,,,,,,,,,,,,,,,,,,,,
78,,,RSU1,,,,,,,,,,,,,,,,,,,,,
79,,,ITGA6,,,,,,,,,,,,,,,,,,,,,
80,,,CTSB,,,,,,,,,,,,,,,,,,,,,
81,,,ADAM28,,,,,,,,,,,,,,,,,,,,,
82,,,ZNF296,,,,,,,,,,,,,,,,,,,,,
83,,,SYNE1,,,,,,,,,,,,,,,,,,,,,
84,,,GGA3,,,,,,,,,,,,,,,,,,,,,
85,,,MARCH2,,,,,,,,,,,,,,,,,,,,,
86,,,CD8B,,,,,,,,,,,,,,,,,,,,,
87,,,RPS6,,,,,,,,,,,,,,,,,,,,,
88,,,APMAP,,,,,,,,,,,,,,,,,,,,,
89,,,PIK3R1,,,,,,,,,,,,,,,,,,,,,
